name,mass n,atomic n,electronic config
,,,
hydrogen,1.008,1,1s1
helium,4.003,2,1s2
,,,
lithium,6.941,3,[He]2s1
beryllium,9.012,4,[He]2s2
boron,10.81,5,[He]2s2 2p1
carbon,12.01,6,[He]2s2 2p2
nitrogen,14.01,7,[He]2s2 2p3
oxygen,16,8,[He]2s2 2p4
fluorine,19,9,[He]2s2 2p5
neon,20.18,10,[He]2s2 2p6
,,,
sodium,22.99,11,[Ne]3s1
magnesium,24.31,12,[Ne]3s2
aluminum,26.98,13,[Ne]3s2 3p1
silicon,28.09,14,[Ne]3s2 3p2
phosphorus,30.97,15,[Ne]3s2 3p3
sulfur,32.07,16,[Ne]3s2 3p4
chlorine,35.45,17,[Ne]3s2 3p5
argon,39.95,18,[Ne]3s2 3p6
,,,
potassium,39.1,19,[Ar]4s1
calcium,40.08,20,[Ar]4s2
scandium,44.96,21,[Ar]3d1 4s2
titanium,47.87,22,[Ar]3d2 4s2
vanadium,50.94,23,[Ar]3d3 4s2
chromium,52,24,[Ar]3d5 4s1
manganese,54.94,25,[Ar]3d5 4s2
iron,55.85,26,[Ar]3d6 4s2
cobalt,58.93,27,[Ar]3d7 4s2
nickel,58.69,28,[Ar]3d8 4s2
copper,63.55,29,[Ar]3d10 4s1
zinc,65.38,30,[Ar]3d10 4s2
gallium,69.72,31,[Ar]3d10 4s2 4p1
germanium,72.63,32,[Ar]3d10 4s2 4p2
arsenic,74.92,33,[Ae]3d10 4s2 4p3
selenium,78.96,34,[Ar]3d10 4s2 4p4
bromine,79.9,35,[Ar]3d10 4s2 4p5
krypton,83.8,36,[Ar]3d10 4s2 4p6
,,,
rubidium,85.47,37,[Kr]5s1
strontium,87.62,38,[Kr]5s2
yttrium,88.91,39,[Kr]4d1 5s2
zirconium,91.22,40,[Kr]4d2 5s2
niobium,92.91,41,[Kr]4d4 5s1
molibdenum,95.95,42,[Kr]4d5 5s1
technetium,98.91,43,[Kr]4d5 5s2
ruthenium,101.1,44,[Ke]4d7 5s1
rhodium,102.9,45,[Kr]4d8 5s1
palladium,106.4,46,[Kr]4d10
silver,107.9,47,[Kr]4d10 5s1
cadmium,112.4,48,[Kr]4d10 5s2
indium,114.8,49,[Kr]4d10 5s2 5p1
tin,118.7,50,[Kr]4d10 5s2 5p2
antimony,121.8,51,[Kr]4d10 5s2 5p3
tellurium,127.6,52,[Kr]4d10 5s2 5p4
barium,126.9,53,[Kr]4d10 5s2 5p5
xenon,131.3,54,[Kr]4d10 5s2 5p6
,,,
casium,132.9,55,[Xe]6s1
barium,137.3,56,[Xe]6s2
lanthanum,138.9,57,[Xe]5d1 6s2
cerium,140.1,58,[Xe]4f1 5d1 6s2
praseodymium,140.9,59,[Xe]4f3 6s2
neodymium,144.2,60,[Xe]4f4 6s2
promethium,145,61,[Xe]4f5 6s2
samarium,150.4,62,[Xe]4f6 6s2
europium,152,63,[Xe]4f7 6s2
gadolinium,157.3,64,[Xe]4f7 5d1 6s2
terbium,158.9,65,[Xe]4f9 6s2
dysprosium,162.5,66,[Xe]4f10 6s2
holmium,164.9,67,[Xe]4f11 6s2
erbium,167.3,68,[Xe]4f12 6s2
thulium,168.9,69,[Xe]4f13 6s2
ytterbium,173,70,[Xe]4f14 6s2
lutetium,175,71,[Xe]4f14 5d1 6s2
hafniun,178.5,72,[Xe]4f14 5d2 6s2
tantalium,180.9,73,[Xe]4f14 5d3 6s2
tungsten,183.8,74,[Xe]4f14 5d4 6s2
rhenium,186.2,75,[Xe]4f14 5d5 6s2
osmium,190.2,76,[Xe]4f14 5d6 6s2
iridium,192.2,77,[Xe]4f14 5d7 6s2
platinum,195.1,78,[Xe]4f14 5d9 6s1
gold,197,79,[Xe]4f14 5d10 6s1
mercury,200.6,80,[Xe]4f14 5d10 6s2
thallium,204.4,81,[Xe]4f14 5d10 6s2 6p1
lead,207.2,82,[Xe]4f14 5d10 6s2 6p2
bismuth,209,83,[Xe]4f14 5d10 6s2 6p3
polonium,209,84,[Xe]4f14 5d10 6s2 6p4
astatine,210,85,[Xe]4f14 5d10 6s2 6p5
radon,222,86,[Xe]4f14 5d10 6s2 6p6
,,,
francium,223,87,[Rn]7s1
radium,226,88,[Rn]7s2
actinium,227,89,[Rn]6d1 7s2
thorium,232,90,[Rn]6d2 7s2
protactinium,231,91,[Rn]5f2 6d1 7s2
uranium,238,92,[Rn]5f3 6d1 7s2
neptunium,237,93,[Rn]5f4 6d1 7s2
plutonium,244,94,[Rn]5f6 7s2
americum,243,95,[Rn]5f7 7s2
curium,247,96,[Rn]5f7 6d1 7s2
berkelium,247,97,[Rn]5f9 7s2
californium,251,98,[Rn]5f10 7s2
ensteinium,252,99,[Rn]5f11 7s2
fermium,257,100,[Rn]5f12 7s2
mendelevium,258,101,[Rn]5f13 7s2
nobelium,259,102,[Rn]5f14 7s2
lawrencium,262,103,[Rn]5f14 6d1 7s2
rutherfordium,261,104,[Rn]5f14 6d2 7s2
dubnium,262,105,[Rn]5f14 6d3 7s2
seaborgium,266,106,[Rn]5f14 6d4 7s2
bohrium,264,107,[Rn]5f14 6d5 7s2
hassium,265,108,[Rn]5f14 6d6 7s2
meitnerium,268,109,[Rn]5f14 6d7 7s2
darmstadtium,271,mancante,mancante
roentgenium,272,mancante,mancante
copernicium,285,mancante,mancante
nihonium,284,mancante,mancante
flerovium,289,mancante,mancante
moscovium,288,mancante,mancante
livermorium,293,mancante,mancante
tennessine,294,mancante,mancante
oganesson,294,mancante,mancante
